Group1,Group2,p-value,Metric,Test,Statistic,Significance,Significance Level
5,30,1.8537185016252138e-05,Loss,Dunn Posthoc Test,,Yes,0.002
10,30,0.031055445256737216,Loss,Dunn Posthoc Test,,No,0.002
15,30,0.033492970368415996,Loss,Dunn Posthoc Test,,No,0.002
20,30,0.002538146745225049,Loss,Dunn Posthoc Test,,No,0.002
30,30,1.0,Loss,Dunn Posthoc Test,,No,0.002
5,5,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
10,5,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
15,5,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
20,5,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
30,5,0.0013236646305954524,Accuracy,Dunn Posthoc Test,,Yes,0.002
5,10,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
10,10,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
15,10,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
20,10,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
30,10,0.06934896755749703,Accuracy,Dunn Posthoc Test,,No,0.002
5,15,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
10,15,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
15,15,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
20,15,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
30,15,0.09148630120125982,Accuracy,Dunn Posthoc Test,,No,0.002
5,20,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
10,20,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
15,20,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
20,20,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
30,20,0.036103516221086464,Accuracy,Dunn Posthoc Test,,No,0.002
5,30,0.0013236646305954524,Accuracy,Dunn Posthoc Test,,Yes,0.002
10,30,0.06934896755749703,Accuracy,Dunn Posthoc Test,,No,0.002
15,30,0.09148630120125982,Accuracy,Dunn Posthoc Test,,No,0.002
20,30,0.036103516221086464,Accuracy,Dunn Posthoc Test,,No,0.002
30,30,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
5,5,1.0,Precision,Dunn Posthoc Test,,No,0.002
10,5,1.0,Precision,Dunn Posthoc Test,,No,0.002
15,5,1.0,Precision,Dunn Posthoc Test,,No,0.002
20,5,1.0,Precision,Dunn Posthoc Test,,No,0.002
30,5,0.0001449074073432325,Precision,Dunn Posthoc Test,,Yes,0.002
5,10,1.0,Precision,Dunn Posthoc Test,,No,0.002
10,10,1.0,Precision,Dunn Posthoc Test,,No,0.002
15,10,1.0,Precision,Dunn Posthoc Test,,No,0.002
