Encoded Architecture,Loss,Accuracy,Precision,Recall,F1,Specificity,SynFlow
"[4, 509, 0, 0, 8, 1, 1, 0, 5, 0, 0, 0, 4, 232, 0, 0, 7, 0, 0, 0, 4, 452, 0, 0, 4, 348, 0, 0, 8, 2, 2, 0, 1, 4, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6934300899505615,0.5,0.4318181818181818,0.0124835742444152,0.0242656449553001,0.9835742444152432,0.0
"[0, 20, 0, 0, 7, 0, 0, 0, 8, 2, 2, 0, 0, 26, 0, 0, 2, 0, 0, 0, 1, 4, 0, 0, 4, 511, 0, 0, 6, 50, 2, 0, 8, 1, 2, 0, 0, 24, 1, 0, 3, 0, 0, 0, 1, 4, 0, 0]",0.6970161616802215,0.5,0.492798353909465,0.3147174770039422,0.384121892542101,0.676084099868594,0.12712001651925675
"[5, 0, 0, 0, 4, 308, 0, 0, 3, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 492, 0, 0, 7, 0, 0, 0]",0.6934612274169922,0.5,0.5188679245283019,0.3975032851511169,0.4501488095238095,0.6314060446780552,0.0
"[6, 21, 4, 0, 4, 454, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 4, 191, 0, 0, 5, 0, 0, 0, 4, 27, 0, 0, 4, 468, 0, 0, 7, 0, 0, 0]",0.6936948895454407,0.5,0.4927113702623906,0.3331143232588699,0.3974911799294394,0.657030223390276,0.45657338924502255
"[3, 0, 0, 0, 6, 23, 3, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 0, 7, 1, 0, 0, 7, 1, 0, 7, 0, 0, 0, 0, 9, 0, 0, 8, 1, 1, 0, 1, 4, 0, 0, 7, 0, 0, 0]",0.6926776945590973,0.5,0.4993523316062176,0.5065703022339028,0.50293542074364,0.4921156373193167,0.025128111076810455
"[4, 363, 0, 0, 3, 0, 0, 0, 6, 10, 4, 0, 0, 15, 0, 0, 1, 15, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0]",0.6950828492641449,0.5,0.4899894625922023,0.6110381077529566,0.543859649122807,0.3639947437582129,0.5338553592846438
"[7, 0, 0, 0, 4, 334, 0, 0, 8, 2, 1, 0, 8, 1, 1, 0, 6, 47, 3, 0, 7, 0, 0, 0, 0, 27, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6931712210178376,0.5,0.4956217162872154,0.3718791064388962,0.4249249249249249,0.621550591327201,0.4967103767453409
"[4, 293, 0, 0, 3, 0, 0, 0, 6, 55, 4, 0, 2, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0]",0.6937027692794799,0.5,0.4924012158054711,0.3193166885676741,0.3874053407732164,0.6708278580814717,0.6537703503709054
"[0, 5, 1, 0, 1, 5, 0, 0, 6, 57, 4, 0, 1, 57, 0, 0, 4, 29, 0, 0, 0, 16, 1, 0, 0, 16, 1, 0, 1, 16, 0, 0, 2, 0, 0, 0, 8, 3, 2, 0, 0, 17, 1, 0, 0, 25, 0, 0]",0.6565869688987732,0.5,0.4976331360946746,0.5525624178712221,0.5236612702366127,0.4421813403416557,0.005516593527318037
"[4, 229, 0, 0, 0, 15, 1, 0, 2, 1, 0, 0, 6, 61, 1, 0, 8, 2, 1, 0, 2, 1, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 0, 8, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6929523587226868,0.5,0.5022455089820359,0.4408672798948752,0.4695591322603219,0.5630749014454665,7.194077061489224
"[0, 11, 1, 0, 3, 0, 0, 0, 0, 11, 1, 0, 2, 1, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 6, 60, 1, 0, 1, 60, 0, 0, 0, 25, 1, 0, 3, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0]",0.7029018819332122,0.5,0.5071942446043165,0.4632063074901445,0.4842032967032967,0.5499342969776609,0.05092740198597312
